phrasal_verb,example,description
report to,Kramer reports directly to the chief executive.,"['if you report to someone at work, they are in charge of you and responsible for telling you what to do']"
rest on,The theory rests on the assumption that there are enough jobs for everyone.,['to be based on something']
rest up,I just need to rest up for a few days.,['to spend a period of time relaxing or sleeping after doing something tiring']
rest with,The matter now rests with the medical committee.,"['if a decision or responsibility rests with someone, they have the duty or authority to take that decision or responsibility']"
rest with,Responsibility for child care rests with social services.,"['if a decision or responsibility rests with someone, they have the duty or authority to take that decision or responsibility']"
result in,The crash resulted in the deaths of 14 passengers.,"['to cause something, or to produce something']"
result in,A sudden change in temperature will inevitably result in rain.,"['to cause something, or to produce something']"
return to,I’d like to return to what David was saying earlier.,"['to go back to a previous state or way of behaving', 'to go back to a subject that has already been mentioned', 'to go back to an activity after an interruption']"
return to,She looked up momentarily but then returned to her reading.,"['to go back to a previous state or way of behaving', 'to go back to a subject that has already been mentioned', 'to go back to an activity after an interruption']"
revel in,She is revelling in the adulation of the media.,['to enjoy something very much']
revolve around,Sicilian life revolves around good food.,"['to have something as a very important part or purpose', 'to think that other people and things are not as important as you are']"
ride on,I feel as though my whole future is riding on this interview.,['to depend on something for success']
ride out,"But he'll cling to power like a limpet, he'll ride out the pain and the humiliation, he's tough as old boots.",['to get to the end of a difficult or dangerous period or situation without any serious problems']
ride out,Did it have something to do with the Prince refusing to ride out with him this morning?,['to get to the end of a difficult or dangerous period or situation without any serious problems']
ride up,I can't just ride up to the gates of the Collective and demand the enemy disperse.,"['if a piece of clothing rides up, it gradually moves upwards on your body']"
ride up,"`Let's have a spot of convoy discipline when we ride up to the house,"" Kenworthy told them.","['if a piece of clothing rides up, it gradually moves upwards on your body']"
rig out,She had been rigged out in a cowgirl outfit.,['to give someone a particular type of clothing to wear']
rig up,They rigged up a shelter using a sheet and some branches.,['to make something quickly out of whatever you can find']
rig up,Would you have them rig up lifelines between here and the superstructure?,['to make something quickly out of whatever you can find']
ring back,Either ring back or ask callers to ring back at a specified time - and make sure you do it.,"['to phone someone again', 'to phone someone who phoned you earlier']"
ring back,My intention was to get the rings back after paying my debt.,"['to phone someone again', 'to phone someone who phoned you earlier']"
ring in,Hundreds of people rang in to complain about his remarks.,"['to phone a place, especially the place where you work or a television or radio station', 'to ring bells to celebrate the beginning of a new year']"
ring in,"I looked at Luke, who nodded, so I did so and suddenly, I felt a ring in my palm.","['to phone a place, especially the place where you work or a television or radio station', 'to ring bells to celebrate the beginning of a new year']"
ring off,"I must ring off now, as I'm talking to a rather charming man at the moment.",['to finish a phone call']
ring off,"They agreed the details, then he made to ring off, saying `See you later.",['to finish a phone call']
ring out,As Mike reached two glasses down from the shelf and uncorked the bottle they heard Piers's voice ring out round the kitchen.,['to produce a loud clear sound']
ring out,Rob’s laughter rang out in the large room.,['to produce a loud clear sound']
ring round,I’ll ring round some of my friends and see if they can help.,['to phone several people or companies etc in order to arrange something or to get information']
ring round,Ministers hope the crackdown will stop people running rings round the system to put off getting a job.,['to phone several people or companies etc in order to arrange something or to get information']
ring through,Reception rang through and said there was someone waiting to see me.,['to phone from one part of a building to another']
ring up,I’ll ring up the theatre and see when the show finishes.,"['to make or lose a particular amount of money in sales, profits, or losses in a period of time', 'to phone someone', 'to record an amount of money by pressing buttons on a cash register']"
ring up,The bank rang up about £600 million in trading losses.,"['to make or lose a particular amount of money in sales, profits, or losses in a period of time', 'to phone someone', 'to record an amount of money by pressing buttons on a cash register']"
ring with,A bell rang and the children trooped back into the school.,"['if a bell rings, it produces a sound', 'if a place rings with a sound, it is full of a loud sound', 'if a sound rings in a place, it is loud and you can hear it clearly', 'if a telephone rings, it makes a sound to show that someone is calling', 'if your ears ring, you continue to hear a loud sound in your head for a short time after you have heard a loud noise or someone has hit you', 'to call someone by telephone', 'to draw a circle around something, especially to show that you have chosen it or to make it easy to notice', 'to make a bell produce a sound', 'to make a continuous loud high sound', 'to put a metal ring with a special number on it around the leg of a bird so that you can recognize it again later', 'to ring a bell as a signal for someone to come to you or to help you', 'to surround someone or something, especially in order to protect them or to prevent them from escaping']"
ring with,A great cheer rang through the hall.,"['if a bell rings, it produces a sound', 'if a place rings with a sound, it is full of a loud sound', 'if a sound rings in a place, it is loud and you can hear it clearly', 'if a telephone rings, it makes a sound to show that someone is calling', 'if your ears ring, you continue to hear a loud sound in your head for a short time after you have heard a loud noise or someone has hit you', 'to call someone by telephone', 'to draw a circle around something, especially to show that you have chosen it or to make it easy to notice', 'to make a bell produce a sound', 'to make a continuous loud high sound', 'to put a metal ring with a special number on it around the leg of a bird so that you can recognize it again later', 'to ring a bell as a signal for someone to come to you or to help you', 'to surround someone or something, especially in order to protect them or to prevent them from escaping']"
rinse out,Steve rinsed the T-shirt out and hung it up to dry.,"['to put something into clean water after you have washed it with soap', 'to wash the inside of something quickly, especially in water']"
rinse out,Mary rinsed out the cup and put it away.,"['to put something into clean water after you have washed it with soap', 'to wash the inside of something quickly, especially in water']"
rip off,Tourists are worried they’ll get ripped off.,"['to cheat someone, especially by charging them too much money for something', 'to steal something']"
rip off,Cars get ripped off all the time round here.,"['to cheat someone, especially by charging them too much money for something', 'to steal something']"
rise above,He was able to rise above the prejudices of his generation.,"['to be better than other things of the same type', 'to be morally good enough not to do something bad, especially something that most other people do', 'to deal well with a difficult or unpleasant situation']"
rise above,This impressive fortress rises above the ancient streets and offers breathtaking views of the lush land below and blue sea beyond.,"['to be better than other things of the same type', 'to be morally good enough not to do something bad, especially something that most other people do', 'to deal well with a difficult or unpleasant situation']"
rise to,He’s just trying to provoke you. Don’t rise to it.,"['to deal successfully with a problem or situation that is especially difficult', 'to react to something in the way that someone wants you to, especially by becoming angry']"
rise to,I was too tired to rise to the bait so I said nothing.,"['to deal successfully with a problem or situation that is especially difficult', 'to react to something in the way that someone wants you to, especially by becoming angry']"
rise up,The crows rose up in alarm at the sound of the shotgun.,['same as rise']
rise up,lush green hillsides rising up ahead of us,['same as rise']
roll back,You can’t roll back all the reforms of the last ten years.,"['to reduce something such as a price or salary', 'to remove something, or to reduce the influence of something']"
roll back,There was another on 97 when the ball rolled back past my legs and close to the stumps.,"['to reduce something such as a price or salary', 'to remove something, or to reduce the influence of something']"
roll in,Chapter Forty-two Broker and Janey sat on the deck sipping coffee and watching the clouds roll in.,"['to arrive in a relaxed way despite being late', 'to arrive in large numbers or amounts']"
roll in,His roll in the catnip might have rejuvenated him enough to stalk a bird but somehow she doubted it.,"['to arrive in a relaxed way despite being late', 'to arrive in large numbers or amounts']"
roll out,Australia will roll out the prototype of its new jet fighter in January.,"['same as roll', 'to introduce a new product or service', 'to make something that is wrapped around itself become flat']"
roll out,Roll out the pizza dough on a well-floured surface.,"['same as roll', 'to introduce a new product or service', 'to make something that is wrapped around itself become flat']"
roll over,He rolled over and opened his eyes.,"['if you roll over money that you have invested, you invest it in something similar', 'same as roll', 'to agree that an amount of money that someone owes can be paid back at a later date', 'to be easily defeated because you do not defend yourself', 'to defeat an opponent easily']"
roll up,They eventually rolled up at lunchtime.,"['if you roll a car window up, you turn a handle or push a button so that the window goes up', 'if you roll your sleeves or the legs of your trousers up, you fold the cloth several times until they are shorter', 'same as roll', 'to arrive somewhere late or at a time when you were not expected', 'used for getting people’s attention when you want to tell them to come and watch something or take part in something']"
roll up,He indicated a steel roll-up type double door on the far right wall.,"['if you roll a car window up, you turn a handle or push a button so that the window goes up', 'if you roll your sleeves or the legs of your trousers up, you fold the cloth several times until they are shorter', 'same as roll', 'to arrive somewhere late or at a time when you were not expected', 'used for getting people’s attention when you want to tell them to come and watch something or take part in something']"
roll up!,They eventually rolled up at lunchtime.,"['if you roll a car window up, you turn a handle or push a button so that the window goes up', 'if you roll your sleeves or the legs of your trousers up, you fold the cloth several times until they are shorter', 'same as roll', 'to arrive somewhere late or at a time when you were not expected', 'used for getting people’s attention when you want to tell them to come and watch something or take part in something']"
roll up!,He indicated a steel roll-up type double door on the far right wall.,"['if you roll a car window up, you turn a handle or push a button so that the window goes up', 'if you roll your sleeves or the legs of your trousers up, you fold the cloth several times until they are shorter', 'same as roll', 'to arrive somewhere late or at a time when you were not expected', 'used for getting people’s attention when you want to tell them to come and watch something or take part in something']"
root for,I’m sure you’ll win. Everyone’s rooting for you.,"['to support someone in a game, competition etc']"
root out,"Occasionally the most unfriendly ones may drop a branch, or stick a root out, or grasp at you with a long trailer.",['to find something bad or illegal and get rid of it']
root out,"`However sincere, the chap had a good incentive to root out anyone even remotely qualifying for his detection methods.",['to find something bad or illegal and get rid of it']
rope in,"He had rope in the stores, two-inch nylon that they could run the length of the big rooms.",['to persuade someone to do something that they do not really want to do']
rope in,"The leafy branch rose and fell, and the horse jerked and jerked at the rope in John's hand.",['to persuade someone to do something that they do not really want to do']
rope off,The path was roped off on either side.,"['to enclose an area using ropes, usually because of danger']"
rough up,They roughed us up and took away our equipment.,['to physically attack someone']
round down,"The total came to £10.04, but she rounded it down to £10.","['to reduce a number to the nearest whole number, or the nearest number ending in zero']"
round off,"Coffin wondered if he would say something memorable or profound to round off the moment, but he didn't do so.","['to change a number to the nearest whole number, or the nearest number ending in zero', 'to end something in a satisfactory way', 'to make an angle or surface curved and smooth']"
round off,"If there is something that he feels he has to round off, I don't begrudge it him.","['to change a number to the nearest whole number, or the nearest number ending in zero', 'to end something in a satisfactory way', 'to make an angle or surface curved and smooth']"
round on,"He thought he might get some people round on Wednesday evening, have a bit of a birthday bash.",['to react angrily towards someone']
round on,"Simon grinned back and together they moved round on to the port deck, and secured lifelines.",['to react angrily towards someone']
round out,Bodine and Rogers rounded out the list of top finishers.,"['to make something more complete, especially by adding another feature']"
round up,"""The HKs didn't routinely round up the wounded for treatment.","['to bring animals or people together in one place for a particular purpose', 'to find and arrest people', 'to increase a number to the nearest whole number, or the nearest number ending in zero']"
round up,Dozens of political activists have been rounded up for questioning.,"['to bring animals or people together in one place for a particular purpose', 'to find and arrest people', 'to increase a number to the nearest whole number, or the nearest number ending in zero']"
row back,The government rowed back on three budget proposals: a cap on charity tax relief and the imposition of Vat on hot pasties and static caravans.,"['to slightly change something that you previously said, or to slightly change your opinion on an issue']"
row back,In the midst of preaching earlier this year my eyes landed on a person about eight rows back in the right hand section of seats.,"['to slightly change something that you previously said, or to slightly change your opinion on an issue']"
rub along,They had to rub along and they did.,['to live or work with someone in a friendly way']
rub along,My marriage rubbed along like most people's do after 30 years.,['to live or work with someone in a friendly way']
rub down,The front door was in such poor shape that Paula found herself wishing she'd brought along her sandpaper to give it a good rub down.,"['to clean a horse’s body by rubbing it with a brush', 'to dry someone’s body by rubbing it with a towel', 'to rub a surface to make it smooth or dry']"
rub down,`Take her upstairs and help her to rub down thoroughly and change everything.,"['to clean a horse’s body by rubbing it with a brush', 'to dry someone’s body by rubbing it with a towel', 'to rub a surface to make it smooth or dry']"
rub in,"In the end what Christian did was stamp around the place where the blood had been, trying to rub in some of the dirt from his shoes.","['to mix something such as butter or fat into another substance such as flour, using your fingers', 'used to remind someone of something stupid or bad that they did']"
rub in,"`But it's all right to clean my hands up later and maybe rub in some of that lotion I brought with me, isn't it, Ma?","['to mix something such as butter or fat into another substance such as flour, using your fingers', 'used to remind someone of something stupid or bad that they did']"
rub it in,Place the flour in a bowl and rub in the butter.,"['to mix something such as butter or fat into another substance such as flour, using your fingers', 'used to remind someone of something stupid or bad that they did']"
rub it in,"OK, I lost, no need to rub it in!","['to mix something such as butter or fat into another substance such as flour, using your fingers', 'used to remind someone of something stupid or bad that they did']"
rub off,"Of course, a vet's wife must expect some of the odium to rub off on her where animals are concerned.","['if a quality that someone has rubs off, it starts to affect another person so that they start to have that quality too']"
rub off,"Some of it should rub off on your mother,"" he said with surprising bitterness.","['if a quality that someone has rubs off, it starts to affect another person so that they start to have that quality too']"
rub off on,Hopefully her enthusiasm will rub off on the rest of the team.,"['if a quality that someone has rubs off, it starts to affect another person so that they start to have that quality too']"
rub out,Suppose some lifer had had word sent in by the Orangemen - the Loyalists - to rub out Pat Doyle?,"['to kill someone', 'to remove with a rubber something that you have written or drawn in pencil, especially because you have made a mistake', 'to remove writing or drawing from a blackboard, whiteboard etc so that the surface is clean']"
rub out,"When she returned to the whiteboard, someone had rubbed out all her calculations.","['to kill someone', 'to remove with a rubber something that you have written or drawn in pencil, especially because you have made a mistake', 'to remove writing or drawing from a blackboard, whiteboard etc so that the surface is clean']"
ruck up,The curtains were rucked up.,"['if a piece of cloth or clothing rucks up, or if you ruck it up, it forms untidy folds']"
rule in,Nothing has been ruled in and nothing has been ruled out.,['to decide that something is a possibility or that it will definitely happen']
rule out,""""" So what made you think you could rule out a recently married schoolteacher with a nice house?",['to stop considering something as a possibility']
rule out,At this point I could not have stood it if we had to rule out madness.,['to stop considering something as a possibility']
rule out of,A shoulder injury ruled him out of the World Cup.,['to make it impossible for a player to take part in a game or competition']
rumble on,They have allowed the misunderstanding to rumble on.,['to continue to cause trouble']
run across,I ran across the letter while I was tidying the drawers.,['to find something or to meet someone by chance']
run across,There's less chance of running across anyone.,['to find something or to meet someone by chance']
run after,She's usually seen running after boys in Hollyoaks.,"['to chase someone or something', 'to try to make someone notice you because you are sexually attracted to them']"
run after,And it's three years running after that.,"['to chase someone or something', 'to try to make someone notice you because you are sexually attracted to them']"
run against,I ran to the door and opened it.,"['if a bus, train etc runs, it travels somewhere at regular times', 'if a feeling runs through you, you experience it', 'if a liquid runs somewhere, it flows there', 'if a machine or engine runs, or if you run it, it is working', 'if a piece of clothing or a colour runs, the colour spreads when you wash it', 'if a play, film, or television programme runs, it continues to be performed or shown', 'if a river runs somewhere, it flows there', 'if a story, argument etc runs in a particular way, this is what happens or what someone says', 'if a tap runs, or if you run it, water comes out of it', 'if a vehicle runs somewhere, it moves there because the driver is not controlling it properly', 'if an official agreement or document runs until a particular time, you can continue to use it until that date', 'if newspapers run an article, advertisement, or photograph, they print it', 'if something is running with a liquid, the liquid is flowing down it', 'if something such as a road or wall runs somewhere, it exists in that place', 'if something such as butter runs, it becomes liquid and spreads because it is warm', 'if something such as paint or ink runs, it spreads to where it should not be', 'if tights or stockings run, a hole in them becomes longer', 'to bring someone or something illegally into a country', 'to control and organize something such as a business, organization, or event', 'to fill a bath or other container with water from a tap', 'to grow in a particular direction', 'to have a particular thought', 'to have a race in a particular place or at a particular time', 'to move or rub something along something else', 'to move quickly to a place using your legs and feet', 'to move smoothly', 'to organize and provide something such as a service or course', 'to own and use a motor vehicle', 'to put something such as a wire or thread somewhere', 'to reach a particular amount or rate', 'to run a particular distance', 'to run in a race', 'to start or to use a computer program', 'to take someone somewhere in your car', 'to try to be elected to an official job or position']"
run against,You could run the cable behind the desk.,"['if a bus, train etc runs, it travels somewhere at regular times', 'if a feeling runs through you, you experience it', 'if a liquid runs somewhere, it flows there', 'if a machine or engine runs, or if you run it, it is working', 'if a piece of clothing or a colour runs, the colour spreads when you wash it', 'if a play, film, or television programme runs, it continues to be performed or shown', 'if a river runs somewhere, it flows there', 'if a story, argument etc runs in a particular way, this is what happens or what someone says', 'if a tap runs, or if you run it, water comes out of it', 'if a vehicle runs somewhere, it moves there because the driver is not controlling it properly', 'if an official agreement or document runs until a particular time, you can continue to use it until that date', 'if newspapers run an article, advertisement, or photograph, they print it', 'if something is running with a liquid, the liquid is flowing down it', 'if something such as a road or wall runs somewhere, it exists in that place', 'if something such as butter runs, it becomes liquid and spreads because it is warm', 'if something such as paint or ink runs, it spreads to where it should not be', 'if tights or stockings run, a hole in them becomes longer', 'to bring someone or something illegally into a country', 'to control and organize something such as a business, organization, or event', 'to fill a bath or other container with water from a tap', 'to grow in a particular direction', 'to have a particular thought', 'to have a race in a particular place or at a particular time', 'to move or rub something along something else', 'to move quickly to a place using your legs and feet', 'to move smoothly', 'to organize and provide something such as a service or course', 'to own and use a motor vehicle', 'to put something such as a wire or thread somewhere', 'to reach a particular amount or rate', 'to run a particular distance', 'to run in a race', 'to start or to use a computer program', 'to take someone somewhere in your car', 'to try to be elected to an official job or position']"
run along,"The silver is laid out in veins that follow lines of weakness in the country rock, often running along faults.",['used for telling children to go away']
run around,I’ve been running around all day.,['to be very busy doing a lot of different things']
run around,"`He's one bloke I can't afford to run around, I'm afraid, Alec.",['to be very busy doing a lot of different things']
run away,"It's not my profile to run away from problems, in this case to run away from bad results.","['to secretly leave a place where you should stay, because you are not happy there', 'to try to avoid dealing with a difficult or unpleasant situation']"
run away,"She had escaped by running away with their lodger, who was married.","['to secretly leave a place where you should stay, because you are not happy there', 'to try to avoid dealing with a difficult or unpleasant situation']"
run away with,"But she mustn't let her feelings, her hopes, run away with her good judgement.","['if feelings, ideas etc run away with someone, they make someone say or do something stupid', 'to believe that something is true when it is not', 'to secretly leave a place with someone so that you can live together', 'to steal something, or to borrow something without asking', 'to win a competition, game, or prize very easily']"
run away with,She ran away with Steven when she was only sixteen.,"['if feelings, ideas etc run away with someone, they make someone say or do something stupid', 'to believe that something is true when it is not', 'to secretly leave a place with someone so that you can live together', 'to steal something, or to borrow something without asking', 'to win a competition, game, or prize very easily']"
run by,Can I run a few ideas by you?,"['to tell someone your ideas so that they can give you their opinion', 'used for asking someone to repeat what they have just said']"
run down,"About run-down, dirty, unswept rooms in damp, unpleasant houses, in which she had lost the occasional battle on a greasy sofa.","['if a business or organization runs down, or if someone runs it down, it gradually becomes smaller', 'if something such as a machine or clock runs down, or if you run it down, it gradually stops working because it has no power', 'to criticize someone, especially in an unfair way', 'to find someone after searching for them for a long time', 'to hit someone with your car and injure or kill them', 'to quickly read everything on a list']"
run down,"Also, a perfect jumping-off point for a run down the English Channel.","['if a business or organization runs down, or if someone runs it down, it gradually becomes smaller', 'if something such as a machine or clock runs down, or if you run it down, it gradually stops working because it has no power', 'to criticize someone, especially in an unfair way', 'to find someone after searching for them for a long time', 'to hit someone with your car and injure or kill them', 'to quickly read everything on a list']"
run for,I ran to the door and opened it.,"['if a bus, train etc runs, it travels somewhere at regular times', 'if a feeling runs through you, you experience it', 'if a liquid runs somewhere, it flows there', 'if a machine or engine runs, or if you run it, it is working', 'if a piece of clothing or a colour runs, the colour spreads when you wash it', 'if a play, film, or television programme runs, it continues to be performed or shown', 'if a river runs somewhere, it flows there', 'if a story, argument etc runs in a particular way, this is what happens or what someone says', 'if a tap runs, or if you run it, water comes out of it', 'if a vehicle runs somewhere, it moves there because the driver is not controlling it properly', 'if an official agreement or document runs until a particular time, you can continue to use it until that date', 'if newspapers run an article, advertisement, or photograph, they print it', 'if something is running with a liquid, the liquid is flowing down it', 'if something such as a road or wall runs somewhere, it exists in that place', 'if something such as butter runs, it becomes liquid and spreads because it is warm', 'if something such as paint or ink runs, it spreads to where it should not be', 'if tights or stockings run, a hole in them becomes longer', 'to bring someone or something illegally into a country', 'to control and organize something such as a business, organization, or event', 'to fill a bath or other container with water from a tap', 'to grow in a particular direction', 'to have a particular thought', 'to have a race in a particular place or at a particular time', 'to move or rub something along something else', 'to move quickly to a place using your legs and feet', 'to move smoothly', 'to organize and provide something such as a service or course', 'to own and use a motor vehicle', 'to put something such as a wire or thread somewhere', 'to reach a particular amount or rate', 'to run a particular distance', 'to run in a race', 'to start or to use a computer program', 'to take someone somewhere in your car', 'to try to be elected to an official job or position']"
run for,You could run the cable behind the desk.,"['if a bus, train etc runs, it travels somewhere at regular times', 'if a feeling runs through you, you experience it', 'if a liquid runs somewhere, it flows there', 'if a machine or engine runs, or if you run it, it is working', 'if a piece of clothing or a colour runs, the colour spreads when you wash it', 'if a play, film, or television programme runs, it continues to be performed or shown', 'if a river runs somewhere, it flows there', 'if a story, argument etc runs in a particular way, this is what happens or what someone says', 'if a tap runs, or if you run it, water comes out of it', 'if a vehicle runs somewhere, it moves there because the driver is not controlling it properly', 'if an official agreement or document runs until a particular time, you can continue to use it until that date', 'if newspapers run an article, advertisement, or photograph, they print it', 'if something is running with a liquid, the liquid is flowing down it', 'if something such as a road or wall runs somewhere, it exists in that place', 'if something such as butter runs, it becomes liquid and spreads because it is warm', 'if something such as paint or ink runs, it spreads to where it should not be', 'if tights or stockings run, a hole in them becomes longer', 'to bring someone or something illegally into a country', 'to control and organize something such as a business, organization, or event', 'to fill a bath or other container with water from a tap', 'to grow in a particular direction', 'to have a particular thought', 'to have a race in a particular place or at a particular time', 'to move or rub something along something else', 'to move quickly to a place using your legs and feet', 'to move smoothly', 'to organize and provide something such as a service or course', 'to own and use a motor vehicle', 'to put something such as a wire or thread somewhere', 'to reach a particular amount or rate', 'to run a particular distance', 'to run in a race', 'to start or to use a computer program', 'to take someone somewhere in your car', 'to try to be elected to an official job or position']"
run in,"After yet another run-in with Danny Jenkins at school, she had turned to her older brother for advice.",['to find a criminal and take them to a police station.']
run in,"I had planned to visit you, but a trial run in your atmosphere out there-- ""The smile had become rueful.",['to find a criminal and take them to a police station.']
run into,A truck ran into me (=hit my car) at the lights this morning.,"['to hit someone or something by accident while you are driving', 'to reach a particular amount', 'to start to have trouble/difficulty/problems etc']"
run into,Flood damages could run into millions.,"['to hit someone or something by accident while you are driving', 'to reach a particular amount', 'to start to have trouble/difficulty/problems etc']"
run off,"Well, I've offered my assistance and more or less got told to run off and play with myself.","['if a liquid runs off, or if you run it off, it flows away from or out of something', 'to force someone to leave a place', 'to quickly print a copy of something', 'to suddenly leave a place or person', 'to talk too much']"
run off,One day he taught him a song about a young woman who had run off to sea with a band of desperate pirates.,"['if a liquid runs off, or if you run it off, it flows away from or out of something', 'to force someone to leave a place', 'to quickly print a copy of something', 'to suddenly leave a place or person', 'to talk too much']"
run off with,They said Phil had run off with his wife’s best friend.,"['to secretly leave a place with someone in order to marry them or have a sexual relationship with them', 'to steal something or to take it without permission']"
run off with,A man in the street approached her and ran off with her bag.,"['to secretly leave a place with someone in order to marry them or have a sexual relationship with them', 'to steal something or to take it without permission']"
run on,I hope this meeting doesn’t run on too long.,"['to continue for longer than expected or planned', 'to talk for a long time about something in a way that is boring. The usual British word is go on.']"
run out,Many hospitals are running out of money.,"['if a pen runs out, it has no more ink left in it', 'if an official agreement or document runs out, it stops being legal at a certain date', 'if someone is run out in cricket, they have to stop hitting the ball and leave the field because the other team hits one set of stumps (=sticks) with the ball before they can reach it', 'if something runs out, you do not have any more of it left', 'if time is running out, you do not have long to do something', 'to make a criminal or a person who you do not like leave a town', 'to use all of something and not have any left']"
run out,"The boys I knew when I was young and the men I've known since then... ""I run out of steam.","['if a pen runs out, it has no more ink left in it', 'if an official agreement or document runs out, it stops being legal at a certain date', 'if someone is run out in cricket, they have to stop hitting the ball and leave the field because the other team hits one set of stumps (=sticks) with the ball before they can reach it', 'if something runs out, you do not have any more of it left', 'if time is running out, you do not have long to do something', 'to make a criminal or a person who you do not like leave a town', 'to use all of something and not have any left']"
run out of,My contract runs out next July.,"['if a pen runs out, it has no more ink left in it', 'if an official agreement or document runs out, it stops being legal at a certain date', 'if someone is run out in cricket, they have to stop hitting the ball and leave the field because the other team hits one set of stumps (=sticks) with the ball before they can reach it', 'if something runs out, you do not have any more of it left', 'if time is running out, you do not have long to do something', 'to make a criminal or a person who you do not like leave a town', 'to use all of something and not have any left']"
run out of,When does your passport run out?,"['if a pen runs out, it has no more ink left in it', 'if an official agreement or document runs out, it stops being legal at a certain date', 'if someone is run out in cricket, they have to stop hitting the ball and leave the field because the other team hits one set of stumps (=sticks) with the ball before they can reach it', 'if something runs out, you do not have any more of it left', 'if time is running out, you do not have long to do something', 'to make a criminal or a person who you do not like leave a town', 'to use all of something and not have any left']"
run out on,I had never once expected to be run out on a rail by a supposed superior who was less of a police officer than I was in every way.,"['to suddenly leave your wife, husband, or partner']"
run out on,"When she had run out on the road to show it to Josh Killian who took the mail out to the settlement, the confrontation was guaranteed.","['to suddenly leave your wife, husband, or partner']"
run over,"When the van owner attempted to stop the car, the driver ran over and killed him.","['if a container runs over, there is too much liquid in it', 'to continue for longer than planned', 'to explain something again so that someone understands', 'to hit someone or something with a vehicle and drive over them', 'to practise what you are going to say in a speech, performance etc', 'to think a lot about something, such as a decision or experience']"
run over,Largely because the middle-class children have all run over to one side of it.,"['if a container runs over, there is too much liquid in it', 'to continue for longer than planned', 'to explain something again so that someone understands', 'to hit someone or something with a vehicle and drive over them', 'to practise what you are going to say in a speech, performance etc', 'to think a lot about something, such as a decision or experience']"
run through,"Here, we run through a list of what's on offer.","['if a feeling runs through a group of people, they all feel it', 'if a quality or idea runs through something, you can find it in many parts of that thing', 'to explain or to read something quickly', 'to practise something so that it is correct for a performance or test', 'to push a sword through someone’s body', 'to spend or use a lot of money in a short period of time']"
run through,The V&A is also running through the list of important but lesser known influences on art and design.,"['if a feeling runs through a group of people, they all feel it', 'if a quality or idea runs through something, you can find it in many parts of that thing', 'to explain or to read something quickly', 'to practise something so that it is correct for a performance or test', 'to push a sword through someone’s body', 'to spend or use a lot of money in a short period of time']"
run to,You also need to run to spot a mismatch.,"['to ask someone for help, especially when you should not need their help', 'to have enough money to buy a particular thing', 'to reach a particular amount, especially a large amount']"
run to,Motorists called the emergency services as others ran to look for the girl.,"['to ask someone for help, especially when you should not need their help', 'to have enough money to buy a particular thing', 'to reach a particular amount, especially a large amount']"
run up,"When we lived at Woodhouse you used to run up the lane to that cottage called The Nook, where the old blacksmith lived.","['to make something very quickly, especially something that you sew', 'to raise a flag to the top of a pole']"
run up,"Anyway, in the run-up to the fête, I was on occasion thrown into the company of Mrs Mipchin, and, as I say, she proved useful.","['to make something very quickly, especially something that you sew', 'to raise a flag to the top of a pole']"
run up against,We ran up against a few problems finding enough money.,"['if you run up against problems, difficulties etc, you have to deal with them']"
run up against,England ran up against a formidable opponent last Saturday.,"['if you run up against problems, difficulties etc, you have to deal with them']"
run with,I ran to the door and opened it.,"['if a bus, train etc runs, it travels somewhere at regular times', 'if a feeling runs through you, you experience it', 'if a liquid runs somewhere, it flows there', 'if a machine or engine runs, or if you run it, it is working', 'if a piece of clothing or a colour runs, the colour spreads when you wash it', 'if a play, film, or television programme runs, it continues to be performed or shown', 'if a river runs somewhere, it flows there', 'if a story, argument etc runs in a particular way, this is what happens or what someone says', 'if a tap runs, or if you run it, water comes out of it', 'if a vehicle runs somewhere, it moves there because the driver is not controlling it properly', 'if an official agreement or document runs until a particular time, you can continue to use it until that date', 'if newspapers run an article, advertisement, or photograph, they print it', 'if something is running with a liquid, the liquid is flowing down it', 'if something such as a road or wall runs somewhere, it exists in that place', 'if something such as butter runs, it becomes liquid and spreads because it is warm', 'if something such as paint or ink runs, it spreads to where it should not be', 'if tights or stockings run, a hole in them becomes longer', 'to bring someone or something illegally into a country', 'to control and organize something such as a business, organization, or event', 'to fill a bath or other container with water from a tap', 'to grow in a particular direction', 'to have a particular thought', 'to have a race in a particular place or at a particular time', 'to move or rub something along something else', 'to move quickly to a place using your legs and feet', 'to move smoothly', 'to organize and provide something such as a service or course', 'to own and use a motor vehicle', 'to put something such as a wire or thread somewhere', 'to reach a particular amount or rate', 'to run a particular distance', 'to run in a race', 'to start or to use a computer program', 'to take someone somewhere in your car', 'to try to be elected to an official job or position']"
